cost_id,company_id,construction_costs,construction_costs_currency,aisc_last_quarter,aisc_last_quarter_currency,aisc_last_year,aisc_last_year_currency,aisc_future,aisc_future_currency,aic_last_quarter,aic_last_quarter_currency,aic_last_year,aic_last_year_currency,tco_current,tco_current_currency,tco_future,tco_future_currency,last_updated
108,106,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
109,107,,,,,872.0,USD,840.0,USD,,,,,,,,,2025-03-22T00:00:00.000Z
110,108,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
111,109,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
112,110,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
113,111,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
114,112,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
115,113,,,,,,,12.5,USD,,,,,,,,,2025-03-22T00:00:00.000Z
116,114,,,,,,,,,,,,,,,,,2025-03-22T00:00:00.000Z
117,115,,,,,,,,,,,,,,,,,2025-03-23T00:00:00.000Z
118,116,,,27.33,USD,26.0,USD,25.5,USD,32.8,USD,31.2,USD,13.68,USD,16.5,USD,2025-03-22T00:00:00.000Z
119,117,,,2437.0,USD,2301.0,USD,,,,,,,1598.0,USD,,,2025-03-23T00:00:00.000Z
120,118,,,,,,,,,,,,,,,,,2025-03-23T00:00:00.000Z
121,119,,,,,,,,,,,,,,,,,2025-03-23T00:00:00.000Z
122,120,,,,,,,,,,,,,,,,,2025-03-23T00:00:00.000Z
123,121,,,,,,,,,,,,,,,,,2025-03-23T04:42:00.000Z
124,122,,,,,,,,,,,,,,,,,2025-03-23T04:55:00.000Z
125,123,,,,,,,,,,,,,,,,,2025-03-23T12:02:00.000Z
126,124,,,,,,,1200.0,USD,,,,,,,,,2025-03-23T12:09:00.000Z
127,125,,,1652.0,USD,1870.0,USD,1500.0,USD,,,,,1300.0,USD,1200.0,USD,2025-03-23T12:09:00.000Z
128,126,,,,,,,1100.0,USD,,,,,,,900.0,USD,2025-03-23T12:09:00.000Z
129,127,,,,,,,869.0,USD,,,,,,,700.0,USD,2025-03-23T12:09:00.000Z
130,128,,,,,,,1200.0,USD,,,,,,,1500.0,USD,2025-03-23T12:34:00.000Z
131,129,,,1287.0,USD,1275.0,USD,1225.0,USD,1480.0,USD,1466.0,USD,935.0,USD,875.0,USD,2025-03-22T00:00:00.000Z
